objective,codes,bits,seed,action_accuracy,probe_accuracy,q_mse,reconstruction_mse,used_codes,empirical_bits,seconds
q,2,1.0,0,1.0,1.0,0.03624887391924858,3.0777101516723633,2,0.9992142915725708,19.293536901474
q,2,1.0,1,1.0,1.0,0.0657212883234024,3.0605905055999756,2,0.9983373880386353,21.46960210800171
q,2,1.0,2,1.0,1.0,0.048979245126247406,3.06404709815979,2,0.9999127388000488,19.716452598571777
q,2,1.0,3,1.0,1.0,0.012381977401673794,3.066227912902832,2,0.9996508359909058,20.59167504310608
q,2,1.0,4,1.0,1.0,0.007032481487840414,3.073169231414795,2,0.9997395277023315,20.428457498550415
reconstruction,2,1.0,0,0.48350003361701965,0.5270000100135803,1.1508699655532837,2.57983136177063,2,0.975706160068512,22.966906547546387
reconstruction,2,1.0,1,0.47600001096725464,0.5109999775886536,1.2894624471664429,2.5629239082336426,2,0.9691686630249023,21.722853660583496
reconstruction,2,1.0,2,0.47600001096725464,0.5239999890327454,1.1876091957092285,2.5790438652038574,2,0.9604765176773071,23.104077339172363
reconstruction,2,1.0,3,0.5235000252723694,0.5109999775886536,1.1806992292404175,2.5867185592651367,2,0.9973142147064209,24.2145037651062
reconstruction,2,1.0,4,0.49550002813339233,0.5044999718666077,1.1024423837661743,2.5909299850463867,2,0.9999884366989136,23.31386089324951
q,4,2.0,0,1.0,1.0,0.004938948899507523,3.0439341068267822,2,0.9992144107818604,19.921130418777466
q,4,2.0,1,1.0,1.0,0.021683840081095695,3.0508596897125244,2,0.9983373880386353,19.91754937171936
q,4,2.0,2,1.0,1.0,0.008791830390691757,3.024962902069092,2,0.9999128580093384,20.309289932250977
q,4,2.0,3,1.0,1.0,0.012910978868603706,3.0358359813690186,2,0.9996509552001953,17.625407218933105
q,4,2.0,4,1.0,1.0,0.012536019086837769,3.014037847518921,2,0.9997396469116211,21.03278160095215
reconstruction,4,2.0,0,0.5100000500679016,0.5049999952316284,1.0981799364089966,2.500805616378784,4,1.9563844203948975,24.021238327026367
reconstruction,4,2.0,1,0.4805000126361847,0.5195000171661377,1.0611748695373535,2.49688720703125,4,1.9662766456604004,23.415249824523926
reconstruction,4,2.0,2,0.49650001525878906,0.5090000033378601,1.0818177461624146,2.485809803009033,4,1.91453218460083,24.109126091003418
reconstruction,4,2.0,3,0.5120000243186951,0.49549999833106995,1.0482861995697021,2.496549129486084,4,1.9505631923675537,22.79196333885193
reconstruction,4,2.0,4,0.5145000219345093,0.5195000171661377,1.0923033952713013,2.500570774078369,4,1.9746190309524536,22.027003526687622
q,8,3.0,0,1.0,1.0,0.0026536451186984777,3.0218353271484375,2,0.9992146492004395,20.32841920852661
q,8,3.0,1,1.0,1.0,0.002986484207212925,3.028303861618042,2,0.9983375072479248,17.145638942718506
q,8,3.0,2,1.0,1.0,0.0033341809175908566,3.0138485431671143,2,0.9999130964279175,19.11287498474121
q,8,3.0,3,0.999500036239624,0.9994999766349792,0.008174395188689232,3.020456552505493,2,0.9996187090873718,21.0159649848938
q,8,3.0,4,1.0,1.0,0.003578284988179803,3.0101568698883057,2,0.999739944934845,21.303316354751587
reconstruction,8,3.0,0,0.48350003361701965,0.49900001287460327,1.047062635421753,2.4659438133239746,8,2.973172903060913,23.58170986175537
reconstruction,8,3.0,1,0.4910000264644623,0.4880000054836273,1.0517621040344238,2.43452787399292,8,2.885526418685913,24.34537625312805
reconstruction,8,3.0,2,0.49650001525878906,0.5130000114440918,1.0498946905136108,2.4318065643310547,8,2.8953957557678223,24.316086530685425
reconstruction,8,3.0,3,0.5100000500679016,0.5214999914169312,1.0383894443511963,2.468305826187134,8,2.8232150077819824,23.720903873443604
reconstruction,8,3.0,4,0.51500004529953,0.503000020980835,1.042974591255188,2.4460203647613525,8,2.955986499786377,23.80700421333313
