objective,codes,bits,seed,action_accuracy,probe_accuracy,q_mse,reconstruction_mse,used_codes,empirical_bits,seconds
q,2,1.0,0,1.0,1.0,0.03624887391924858,0.001974978018552065,2,0.9992142915725708,4.047348737716675
q,2,1.0,1,1.0,1.0,0.0657212883234024,0.0020745526999235153,2,0.9983373880386353,3.2998244762420654
q,2,1.0,2,1.0,1.0,0.048979245126247406,0.0020514833740890026,2,0.9999127388000488,3.158378839492798
q,2,1.0,3,1.0,1.0,0.012381977401673794,0.002004289999604225,2,0.9996508359909058,3.4993515014648438
q,2,1.0,4,1.0,1.0,0.007032481487840414,0.0019248746102675796,2,0.9997395277023315,3.560256004333496
reconstruction,2,1.0,0,0.48350003361701965,0.5049999952316284,1.1544795036315918,0.00135899824090302,2,0.9950249195098877,3.8307180404663086
reconstruction,2,1.0,1,0.47600001096725464,0.5239999890327454,1.2822462320327759,0.0013452500570565462,2,0.9995123147964478,3.8185107707977295
reconstruction,2,1.0,2,0.51500004529953,0.4814999997615814,1.1500318050384521,0.001334644854068756,2,0.9043813943862915,3.4804306030273438
reconstruction,2,1.0,3,0.4910000264644623,0.5109999775886536,1.2399147748947144,0.001378715387545526,2,0.741482675075531,3.763789176940918
reconstruction,2,1.0,4,0.5095000267028809,0.49050000309944153,1.0750547647476196,0.0013496350729838014,2,0.9703626036643982,3.818202257156372
q,4,2.0,0,1.0,1.0,0.004938948899507523,0.001792440889403224,2,0.9992144107818604,3.548476457595825
q,4,2.0,1,1.0,1.0,0.021683840081095695,0.0016527104889973998,2,0.9983373880386353,3.613440752029419
q,4,2.0,2,1.0,1.0,0.008791830390691757,0.0017875655321404338,2,0.9999128580093384,2.7255046367645264
q,4,2.0,3,1.0,1.0,0.012910978868603706,0.0017558488762006164,2,0.9996509552001953,3.6691782474517822
q,4,2.0,4,1.0,1.0,0.012536019086837769,0.0017176932888105512,2,0.9997396469116211,3.7874763011932373
reconstruction,4,2.0,0,0.4865000247955322,0.4950000047683716,1.0825188159942627,0.0012876716209575534,4,1.7473366260528564,3.7904715538024902
reconstruction,4,2.0,1,0.47300001978874207,0.5245000123977661,1.0592941045761108,0.0012321550166234374,4,1.8323147296905518,3.7486014366149902
reconstruction,4,2.0,2,0.49400001764297485,0.49950000643730164,1.086634874343872,0.0012690908042714,4,1.887883186340332,3.7540199756622314
reconstruction,4,2.0,3,0.5100000500679016,0.49549999833106995,1.0548313856124878,0.0012918402208015323,4,1.7774302959442139,3.75889253616333
reconstruction,4,2.0,4,0.48000001907348633,0.4690000116825104,1.1217156648635864,0.0012919873697683215,3,1.26237952709198,3.8228344917297363
q,8,3.0,0,1.0,1.0,0.0026536451186984777,0.0016695542726665735,2,0.9992146492004395,3.5394773483276367
q,8,3.0,1,1.0,1.0,0.002986484207212925,0.0016897571040317416,2,0.9983375072479248,3.4438533782958984
q,8,3.0,2,1.0,1.0,0.0033341809175908566,0.0016270374180749059,2,0.9999130964279175,3.7606191635131836
q,8,3.0,3,0.999500036239624,0.9994999766349792,0.008174395188689232,0.0016570327570661902,2,0.9996187090873718,3.7503018379211426
q,8,3.0,4,1.0,1.0,0.003578284988179803,0.0016231050249189138,2,0.999739944934845,3.6178746223449707
reconstruction,8,3.0,0,0.5164999961853027,0.5015000104904175,1.0435932874679565,0.0012298638466745615,5,2.222646474838257,3.6149137020111084
reconstruction,8,3.0,1,0.47600001096725464,0.5239999890327454,1.0573948621749878,0.001332965912297368,2,0.6622598767280579,3.6990983486175537
reconstruction,8,3.0,2,0.4985000193119049,0.5049999952316284,1.0489200353622437,0.00127956154756248,3,1.0864944458007812,3.764968156814575
reconstruction,8,3.0,3,0.5110000371932983,0.4880000054836273,1.0239557027816772,0.001291051972657442,3,1.4102685451507568,3.3884027004241943
reconstruction,8,3.0,4,0.4935000240802765,0.49050000309944153,1.0700284242630005,0.0012898636050522327,3,1.417367935180664,3.771440267562866
