bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.3283230170915126,q_memory
1,2,0.5133333333333333,0.9733333333333334,0.9987318731873188,0.3271988882020485,reconstruction
1,2,0.55,0.9,0.9857243887654071,0.32788919565123154,sliding_window
2,2,1.0,0.0,0.0,0.3283230170915126,q_memory
2,4,0.525,0.95,0.9974947713006866,0.32558209246645503,reconstruction
2,4,0.5283333333333333,0.9433333333333334,0.9954490146935967,0.3268342230841209,sliding_window
3,2,1.0,0.0,0.0,0.3283230170915126,q_memory
3,8,0.5316666666666666,0.9366666666666666,0.9942282991901245,0.32365686410630756,reconstruction
3,8,0.5383333333333333,0.9233333333333333,0.9887078783223945,0.3252830853364915,sliding_window
4,2,1.0,0.0,0.0,0.3283230170915126,q_memory
4,16,0.5516666666666666,0.8966666666666666,0.9852937377733294,0.3160504737486797,reconstruction
4,16,0.565,0.87,0.9749361346236767,0.32247761464746816,sliding_window
5,2,1.0,0.0,0.0,0.3283230170915126,q_memory
5,32,0.58,0.84,0.960292821871298,0.3045915611176318,reconstruction
5,32,0.5766666666666667,0.8466666666666667,0.9573971610795309,0.31597191312853107,sliding_window
6,2,1.0,0.0,0.0,0.3283230170915126,q_memory
6,64,0.61,0.78,0.909041529370637,0.2869167671643939,reconstruction
6,64,0.6416666666666667,0.7166666666666667,0.8734664925717558,0.30651179821752916,sliding_window
7,2,1.0,0.0,0.0,0.3283230170915126,q_memory
7,124,0.655,0.69,0.8229939689939689,0.2517113239696567,reconstruction
7,128,0.6883333333333334,0.6233333333333333,0.7611984126984127,0.28255392111636785,sliding_window
8,2,1.0,0.0,0.0,0.3283230170915126,q_memory
8,215,0.725,0.55,0.657495411995412,0.19339724128328106,reconstruction
8,234,0.7566666666666667,0.4866666666666667,0.5841507936507937,0.22622132251650745,sliding_window
