bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.3290164609002545,q_memory
1,2,0.5116666666666667,0.9766666666666667,0.9995705705705705,0.3279144839422853,reconstruction
1,2,0.4866666666666667,1.0266666666666666,1.0031463611661895,0.3277374933290229,sliding_window
2,2,1.0,0.0,0.0,0.3290164609002545,q_memory
2,4,0.5116666666666667,0.9766666666666667,1.0012691867242012,0.3276304430112156,reconstruction
2,4,0.48333333333333334,1.0333333333333334,1.0017985752719984,0.327995311524216,sliding_window
3,2,1.0,0.0,0.0,0.3290164609002545,q_memory
3,8,0.49,1.02,1.0001306012167668,0.3264008806823899,reconstruction
3,8,0.51,0.98,0.9988506752534891,0.3291550096165223,sliding_window
4,2,1.0,0.0,0.0,0.3290164609002545,q_memory
4,16,0.5083333333333333,0.9833333333333333,1.0003507150310593,0.3230038183823656,reconstruction
4,16,0.5,1.0,0.996005971183293,0.3279913547632986,sliding_window
5,2,1.0,0.0,0.0,0.3290164609002545,q_memory
5,32,0.4866666666666667,1.0266666666666666,1.0029338823630194,0.31829357146720033,reconstruction
5,32,0.5283333333333333,0.9433333333333334,0.9919988056462938,0.32881726165985437,sliding_window
6,2,1.0,0.0,0.0,0.3290164609002545,q_memory
6,64,0.505,0.99,0.9995925041657572,0.3130302588419703,reconstruction
6,64,0.43833333333333335,1.1233333333333333,1.0269559963749082,0.3321171740034848,sliding_window
7,2,1.0,0.0,0.0,0.3290164609002545,q_memory
7,128,0.47,1.06,1.0130830061560196,0.30637349606648606,reconstruction
7,128,0.4683333333333333,1.0633333333333332,1.0286016977948091,0.33640210453545594,sliding_window
8,2,1.0,0.0,0.0,0.3290164609002545,q_memory
8,253,0.455,1.09,1.0336231209777245,0.3136355184350872,reconstruction
8,255,0.455,1.09,1.024881313131313,0.35173373487305065,sliding_window
