bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.33007433548730875,q_memory
1,2,0.477,1.046,1.0010121455850225,0.32932435639813434,reconstruction
1,2,0.477,1.046,1.0009143960095424,0.32841525089193596,sliding_window
2,2,1.0,0.0,0.0,0.33007433548730875,q_memory
2,4,0.477,1.046,1.0009807400255517,0.32897073291561185,reconstruction
2,4,0.497,1.006,1.0000973692465425,0.3294364366248867,sliding_window
3,2,1.0,0.0,0.0,0.33007433548730875,q_memory
3,8,0.49933333333333335,1.0013333333333334,1.0004379371895118,0.32776987833899396,reconstruction
3,8,0.488,1.024,0.9999041777586591,0.33008153276820407,sliding_window
4,2,1.0,0.0,0.0,0.33007433548730875,q_memory
4,16,0.5003333333333333,0.9993333333333333,1.0002266311546657,0.3226867621965153,reconstruction
4,16,0.495,1.01,1.0001021975036524,0.3298367614753006,sliding_window
5,2,1.0,0.0,0.0,0.33007433548730875,q_memory
5,32,0.5063333333333333,0.9873333333333333,0.999880614752988,0.31514008213948,reconstruction
5,32,0.486,1.028,1.0015714981525126,0.33008168805092675,sliding_window
6,2,1.0,0.0,0.0,0.33007433548730875,q_memory
6,64,0.5106666666666667,0.9786666666666667,0.9987339953309579,0.30672752615722754,reconstruction
6,64,0.5103333333333333,0.9793333333333333,0.9979867117864046,0.33022937086562987,sliding_window
7,2,1.0,0.0,0.0,0.33007433548730875,q_memory
7,128,0.5076666666666667,0.9846666666666667,0.9999013105774144,0.2966761567747733,reconstruction
7,128,0.503,0.994,0.9996731839089774,0.3318473081003797,sliding_window
8,2,1.0,0.0,0.0,0.33007433548730875,q_memory
8,256,0.5093333333333333,0.9813333333333333,0.9974303473206994,0.2835345412635466,reconstruction
8,256,0.49933333333333335,1.0013333333333334,1.005176624959214,0.333981602059161,sliding_window
