bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.3305009555785245,q_memory
1,2,0.507,0.986,0.9998846528305648,0.32994039133196096,reconstruction
1,2,0.507,0.986,0.9999115539941349,0.3293589506318858,sliding_window
2,2,1.0,0.0,0.0,0.3305009555785245,q_memory
2,4,0.5016666666666667,0.9966666666666667,1.0002291711853415,0.3295000619961604,reconstruction
2,4,0.507,0.986,1.0000307768718188,0.32983037228027956,sliding_window
3,2,1.0,0.0,0.0,0.3305009555785245,q_memory
3,8,0.483,1.034,1.0006595044859674,0.32846695969023076,reconstruction
3,8,0.48933333333333334,1.0213333333333334,1.0001721624538025,0.3303958929671207,sliding_window
4,2,1.0,0.0,0.0,0.3305009555785245,q_memory
4,16,0.48033333333333333,1.0393333333333334,1.0013479291736365,0.3240945258715654,reconstruction
4,16,0.48733333333333334,1.0253333333333334,1.00126538720358,0.33043809978374666,sliding_window
5,2,1.0,0.0,0.0,0.3305009555785245,q_memory
5,32,0.49433333333333335,1.0113333333333334,1.0007887643027313,0.31727011517908044,reconstruction
5,32,0.49666666666666665,1.0066666666666666,1.0007637954424566,0.3305237065979194,sliding_window
6,2,1.0,0.0,0.0,0.3305009555785245,q_memory
6,64,0.49066666666666664,1.0186666666666666,1.0020453913706227,0.3084732842450659,reconstruction
6,64,0.49,1.02,0.9995117038936239,0.3301436125267007,sliding_window
7,2,1.0,0.0,0.0,0.3305009555785245,q_memory
7,128,0.49233333333333335,1.0153333333333334,1.002917919099334,0.2995898844004794,reconstruction
7,128,0.49633333333333335,1.0073333333333334,1.0010109907852978,0.3310311868189483,sliding_window
8,2,1.0,0.0,0.0,0.3305009555785245,q_memory
8,256,0.48933333333333334,1.0213333333333334,1.0027098273396475,0.2885810356850945,reconstruction
8,256,0.5096666666666667,0.9806666666666667,0.9976647378408385,0.33291139673079845,sliding_window
