bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.32966979263586615,q_memory
1,2,0.5213333333333333,0.9573333333333334,0.9986911640846815,0.3287760217173619,reconstruction
1,2,0.524,0.952,0.9991745016086584,0.32820490867623275,sliding_window
2,2,1.0,0.0,0.0,0.32966979263586615,q_memory
2,4,0.5213333333333333,0.9573333333333334,0.9986943393828439,0.32829156487378547,reconstruction
2,4,0.504,0.992,0.9996439385899896,0.3291235849460106,sliding_window
3,2,1.0,0.0,0.0,0.32966979263586615,q_memory
3,8,0.502,0.996,0.999125024382166,0.32682213798866494,reconstruction
3,8,0.48933333333333334,1.0213333333333334,1.0010940924989888,0.32960293472612506,sliding_window
4,2,1.0,0.0,0.0,0.32966979263586615,q_memory
4,16,0.48933333333333334,1.0213333333333334,1.0010367309425934,0.3233592967895335,reconstruction
4,16,0.49866666666666665,1.0026666666666666,0.9993451224105879,0.3296776448031802,sliding_window
5,2,1.0,0.0,0.0,0.32966979263586615,q_memory
5,32,0.506,0.988,1.0005234667792324,0.317987630952337,reconstruction
5,32,0.492,1.016,1.0018178769527375,0.3297750963306461,sliding_window
6,2,1.0,0.0,0.0,0.32966979263586615,q_memory
6,64,0.504,0.992,0.9954098006570639,0.3095125436017607,reconstruction
6,64,0.49733333333333335,1.0053333333333334,0.9990155030022457,0.32983039069509323,sliding_window
7,2,1.0,0.0,0.0,0.32966979263586615,q_memory
7,128,0.5113333333333333,0.9773333333333334,0.9938666497113932,0.30088623505050355,reconstruction
7,128,0.504,0.992,0.9948108143317667,0.3319715459934756,sliding_window
8,2,1.0,0.0,0.0,0.32966979263586615,q_memory
8,256,0.5166666666666667,0.9666666666666667,0.9944765821447331,0.29259075064803935,reconstruction
8,256,0.518,0.964,0.9945843546567749,0.3364987446259059,sliding_window
