bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.32895037426692236,q_memory
1,2,0.496,1.008,0.9999535855720301,0.32837031871148364,reconstruction
1,2,0.496,1.008,0.9999792488143263,0.3277666669167242,sliding_window
2,2,1.0,0.0,0.0,0.32895037426692236,q_memory
2,4,0.5133333333333333,0.9733333333333334,0.9997566699923306,0.3276387152822667,reconstruction
2,4,0.5106666666666667,0.9786666666666667,0.9986665132209931,0.32857092386287345,sliding_window
3,2,1.0,0.0,0.0,0.32895037426692236,q_memory
3,8,0.494,1.012,1.0003780693204323,0.3262174905353591,reconstruction
3,8,0.5026666666666667,0.9946666666666667,0.9998241454488387,0.3285924798894671,sliding_window
4,2,1.0,0.0,0.0,0.32895037426692236,q_memory
4,16,0.49533333333333335,1.0093333333333334,1.0006224561725368,0.321354643738623,reconstruction
4,16,0.5013333333333333,0.9973333333333333,0.9991435492408438,0.32912656199683427,sliding_window
5,2,1.0,0.0,0.0,0.32895037426692236,q_memory
5,32,0.49333333333333335,1.0133333333333334,1.0010104356228284,0.3143270633487879,reconstruction
5,32,0.48933333333333334,1.0213333333333334,1.0022921354851257,0.32894190665460643,sliding_window
6,2,1.0,0.0,0.0,0.32895037426692236,q_memory
6,64,0.488,1.024,1.002853862822307,0.3095909277525048,reconstruction
6,64,0.498,1.004,0.9997619103902576,0.3279400388648525,sliding_window
7,2,1.0,0.0,0.0,0.32895037426692236,q_memory
7,128,0.47933333333333333,1.0413333333333334,1.0056591038562859,0.3043636858355231,reconstruction
7,128,0.49466666666666664,1.0106666666666666,1.0056078929731658,0.3313074622697169,sliding_window
8,2,1.0,0.0,0.0,0.32895037426692236,q_memory
8,256,0.49466666666666664,1.0106666666666666,1.0052204711611605,0.2956811099526642,reconstruction
8,256,0.49666666666666665,1.0066666666666666,1.0017721590977884,0.3338978742309467,sliding_window
