game,seed,t,split,policy,action,mean,std,ci95,n,advantage
game_20260818.z8,20260818,0,train,oracle_success,examine chest,0.0,0.0,0.0,2,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,go east,1.0,0.0,0.0,2,0.8333333333333334
game_20260818.z8,20260818,0,train,oracle_success,go south,0.0,0.0,0.0,2,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,inventory,0.0,0.0,0.0,2,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,look,0.0,0.0,0.0,2,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,open chest,0.0,0.0,0.0,2,-0.16666666666666666
game_20260818.z8,20260818,0,train,random_uniform,examine chest,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,0,train,random_uniform,go east,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,0,train,random_uniform,go south,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,0,train,random_uniform,inventory,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,0,train,random_uniform,look,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,0,train,random_uniform,open chest,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine candy bar,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine shelf,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine shirt,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,go west,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,inventory,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,oracle_success,look,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine candy bar,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine shelf,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine shirt,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,go west,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,inventory,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,1,train,random_uniform,look,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine candy bar,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine shelf,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine shirt,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,go west,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,inventory,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,oracle_success,look,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine candy bar,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine shelf,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine shirt,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,go west,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,inventory,0.0,0.0,0.0,2,0.0
game_20260818.z8,20260818,2,train,random_uniform,look,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine latchkey,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,go north,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,oracle_success,go west,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine latchkey,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,go north,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,0,train,random_uniform,go west,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine latchkey,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,go north,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,oracle_success,go west,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine latchkey,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,go north,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,1,train,random_uniform,go west,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine latchkey,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,go north,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,oracle_success,go west,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,random_uniform,close fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine box,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine fridge,0.0,0.0,0.0,2,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine latchkey,0.0,0.0,0.0,2,0.0
