game,seed,t,split,policy,action,mean,std,ci95,n,advantage
game_20260818.z8,20260818,0,train,oracle_success,examine chest,0.0,0.0,0.0,4,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,go east,1.0,0.0,0.0,4,0.8333333333333334
game_20260818.z8,20260818,0,train,oracle_success,go south,0.0,0.0,0.0,4,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,inventory,0.0,0.0,0.0,4,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,look,0.0,0.0,0.0,4,-0.16666666666666666
game_20260818.z8,20260818,0,train,oracle_success,open chest,0.0,0.0,0.0,4,-0.16666666666666666
game_20260818.z8,20260818,0,train,random_uniform,examine chest,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,0,train,random_uniform,go east,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,0,train,random_uniform,go south,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,0,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,0,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,0,train,random_uniform,open chest,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine candy bar,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine shelf,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,examine shirt,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine candy bar,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine shelf,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,examine shirt,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,1,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine candy bar,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine shelf,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,examine shirt,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine candy bar,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine shelf,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,examine shirt,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260818.z8,20260818,2,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,0,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,1,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,close fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine box,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine fridge,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,examine latchkey,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260819.z8,20260819,2,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,examine locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,examine non-euclidean locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,oracle_success,open locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,examine locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,examine non-euclidean locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,0,train,random_uniform,open locker,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,oracle_success,go east,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,oracle_success,go south,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,random_uniform,go east,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,random_uniform,go south,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,1,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,oracle_success,examine napkin,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,oracle_success,take napkin,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,random_uniform,examine napkin,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,random_uniform,inventory,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,random_uniform,look,0.0,0.0,0.0,4,0.0
game_20260820.z8,20260820,2,train,random_uniform,take napkin,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,oracle_success,examine tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,0,train,random_uniform,examine tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,oracle_success,examine tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,1,train,random_uniform,examine tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,oracle_success,examine tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,drop fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,drop tv,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,eat fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,examine fondue,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,examine safe,0.0,0.0,0.0,4,0.0
game_20260821.z8,20260821,2,train,random_uniform,examine tv,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,examine bug,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,oracle_success,go south,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,examine bug,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,0,train,random_uniform,go south,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,examine bug,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,oracle_success,go south,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,examine bug,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,1,train,random_uniform,go south,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,drop Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,drop pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,examine Comic Strip Calendar,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,examine pair of pants,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260822.z8,20260822,2,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,drop legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,eat legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,examine bench,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,examine insect,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,oracle_success,go south,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,drop legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,eat legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,examine bench,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,examine insect,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,0,train,random_uniform,go south,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,drop legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,eat legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,examine gummy bear,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,drop legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,eat legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,examine gummy bear,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,1,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,examine gummy bear,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,go north,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,go west,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,inventory,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,oracle_success,look,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,random_uniform,examine gummy bear,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,random_uniform,examine legume,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,random_uniform,go north,0.0,0.0,0.0,4,0.0
game_20260823.z8,20260823,2,train,random_uniform,go west,0.0,0.0,0.0,4,0.0
